sku,rating,good points,bad points
C12AD90038,"[10, 9, 9]","['Je blijft er goed warm in', 'Fijn vestje met perfecte fit voor mij. Ik heb maat L gekozen, ik ben 1.86m en +/- 90 kg. Goede kwaliteit, fijne stof, windstopper gedeelte aan de voorkant. Ik gebruik het veel voor wandelen en fietsen (mountainbike en racefiets).', 'Fijne stof, mooie kleur, kwaliteit zoals altijd bij Craft goed, mouwen met opening erg fijn in koude omstandigheden']",[]
C12AD90038,"[10, 9, 10]","['Licht en dun, maar zeer comfortabel', 'Duimgaten met lange manchetten en een windblocker aan de voorzijde.']",['N.v.t.']
B12AD90109,"[10, 9, 8]","['Zit lekker', 'Goede mouwlengte', 'Goede pasvorm, wind dichtheid, soepel om te dragen. Ritsen zijn goed water afstotend en mooi afgewerkt. Voldoende binnen zakken . Model is voorzien van mouwen met goede lengte evenals de rug.']","['Iets ondiepere binnenzakken', 'Persoonlijk had ik een nog betere ventilatie gewenst. Na een fikse wandeling redelijk aan het transpireren. Ritsen in de de oksels voor extra ventilatie zou een oplossing kunnen zijn, die ontbreken namelijk.']"
DABBF10003,"[9, 8]",['Sluit goed aan. Lekker bij kouder weer. Gebruik het Jack op mijn speedpedelic.'],['Een paar zakken had ik wel prettig gevonden.']
EABCD80005,[9],['Draag comfort'],['Geen sprekende kleur']
DABDF00002,"[10, 9, 10]",['Mooie afwerking. Stevige rits.'],['Weinig reflecterende delen.']
DABAF00003,"[7, 9]","['- Enorme isolatie, ook rond 0C en met veel wind comfortabel. Lange mouwen en wat hogere kraag helpen ook\n- Super fel gele kleur draagt bij aan zichtbaarheid en veiligheid\n- Zachte stof voelt comfortabel aan\n- Prijs na korting is redelijk']","['xl is mij te klein', '- Ontwerp pockets op onderrug vind ik niet ideaal - 1 pocket (niet de gebruikelijke 3) en met 1 lange rits, minder makkelijk spullen verdelen\n- Maat L valt iets aan de grote kant vergeleken met andere L kleding']"
EABBC80006,[10],['Zeer goede jas voor op de fiets'],[]
DABCF00001,[9],"['Het is echt een erg lekker en goed sluitende jas. hij zit zeer comfortabel en met name de sluiting bij de nek/hals en polsen is uitermate goed doordacht. echt een super lekker zittende sluiting, waar ook in racehouding echt geen wind tussendoor komt.']","['de voorzijde is erg hoog ingesneden, waardoor deze net onder de navel sluit. De lengte aan de voorzijde had dus wel wat langer gemogen. De zakken op de achterzijde zijn erg diep en de opening zit daardoor erg hoog op de rug. Daardoor moet je wel heel ver omhoog rijken om voeding e.d. uit je jas te halen. (De totale lengte is gewoon wat kort, maar een maat groter, sluit hij bij de rest van het lichaam dan echt te ruim.']"
EABCF00005,"[6, 10, 10]","['Windwerend\nLicht gewicht\nGoed ademend', 'Mooie pasvorm , mooi materiaal , functionele kleur', 'Fijn en goed zichtbaar jasje']","['Niet winddicht ;)\nValt iets te ruim\nSluit bij de heup niet goed af\nDit jack zit overal een beetje tussenin. Voor een fietsjack is hij te ruim en los. Tegen neerslag kan hij al helemaal niet. Houd er met koud weer rekening mee dat het jack niet helemaal winddicht is.', 'Geen', 'nee']"
EABCF00003,[8],['Goede weersbescherming'],['De rits lijkt zeer kwetsbaar!!']
DABBF00007,"[10, 9, 8]","['Zit heerlijk', 'Afritsbare mouwen. Materiaal ademend', 'Fijn materiaal en een aardige pasvorm. \nde jas sluit goed aan bij de nek (zonder dat het irritatie oplevert) en bij de polsen. \n\nwerkt goed in combinatie met handschoenen, de mouwen vallen er losjes overheen (zonder dat de wind via de mouwen naar binnen komt). \n\nBlijft goed zitten tijdens het fietsen / mountainbiken. \n\ndoor de ritsen is het mogelijk om de ventilatie van de jas te regelen.']","[""Af en toe kruipt de jas iets omhoog, waardoor die net niet lekker zit. Dit gebeurt voornamelijk bij bepaalde bewegingen als je niet op de fiets zit. \n\nDe kleur wordt vrij snel 'vies'. daar in tegen val je wel goed op. Het is een afweging die je maakt.""]"
DABBF00007,"[9, 10, 9]","['Prima winddicht jack voor voor en naseizoen.', 'Lekker om in te fietsen op koude dagen. Houd de wind goed tegen en een klein buitje is ook geen probleem.\nDoor goede ventilatie is het Jack niet te heet!', '1. Ideaal voor zowel fietsen als hardlopen.\n2. Absoluut winddicht.\n3. Voldoet meer dan goed bij regenbui.\n4. Zeer handig zijn de afritsbare mouwen.\n5. Warm genoeg bij 10 graden Celsius.\n6. Middels rits is eigen temperatuur makkelijk regelbaar.']","['Geen', 'De gele signaal kleur is bij nat weer snel vies door opspattend water.', '1. Ritssluiting van mouwen, zijn ietwat moeilijk dicht te ritsen.']"
DABBF00007,"[9, 8]",['Winddicht\nGoede zichtbaarheid'],['geel wordt snel vies dus advies hoe schoon te maken zonder het hele jack te hoeven wassen']
EABCF10002,"[9, 9]",['Heel licht ademend jack. Prettig draagcomfort.'],"['Reflectie zit op de mouwen, dat is prima maar waarom geen goede reflectie op de achterkant van het  jack. Dat zou gebruikelijk moeten zijn bij dit soort jacks.']"
EABCF00004,"[9, 9]","['Fijne dunne jacket met groot zitcomfort en lekker warm', 'Lichtgewicht\nOpvallende kleur\nGoed winddicht en toch niet warm']",['De tweede handsluiting (die je echt over je hand kan trekken?) zit vrij krap en maakt de mouw kort.']
B12AH90073,[5],['Lichtgewicht'],['Batterij haalt maar 50 %\nVan de vermelde tijdsduur']
E12AD90006,"[10, 10, 9]","['Lekker warm, slim fit', 'Houd de kou goed buiten', 'Goeie pasvorm en comfortabel.']","['Meer ritsen in de zakken ipv klittenband', 'Niks']"
E12AD90006,"[8, 10, 9]","['Multifunctioneel\nVoldoet aan eisen gesteld aan een skijas', 'De zakken en de touwtjes erin om de jas aan te trekken! Erg fijne jas met een skipas vakje in de mouw.', 'Lekkere stof. Pasvorm prima.']",['Mouwlengte net aan maar ik heb lange armen.']
E12AD90006,"[6, 10, 8]","['Zit lekker', 'Goeie prijs voor een mooie en veelzijdige jas.']","['De armen zijn veel te warm en dicht, daardoor heb je in no-time zweetarmen, erg onprettig. Ventilatieritsen zouden dit kunnen verhelpen']"
E12AD90005,[8],['Mooie stof'],"['Niet echt 100% waterproof, laat geen water door maar neemt het wel op']"
